Product Name,Product Price
Nike Pegasus Shield, 729.99
Nike Therma-FIT ADV Repel AeroLoft, 799.99
Nike Running Division Aerogami," 1,349.99"
Nike Pegasus Trail 4 GORE-TEX, 799.99
Nike InfinityRN 4 GORE-TEX, 949.99
Nike Trail, 449.99
Nike Pegasus Shield, 729.99
Nike Juniper Trail 2 GORE-TEX, 469.99
Nike Repel, 549.99
Nike Trail Repel, 449.99
Nike Trail, 349.99
Nike Dri-FIT Repel, 349.99
Nike Pegasus Trail 4 GORE-TEX, 799.99
Nike Windrunner, 999.99
Nike Dri-FIT Fly, 149.99
Nike Therma-FIT ADV Repel AeroLoft," 1,249.99"
Nike Swift Wool, 349.99
Nike Dri-FIT Swift, 499.99
Nike Dri-FIT Fast, 479.99
Nike Trail 'Cosmic Peaks' GORE-TEX INFINIUM™," 1,099.99"
Nike Trail Repel, 579.99
Nike Fast, 299.99
Nike Pegasus Trail 4 GORE-TEX, 639.99
Nike InfinityRN 4 GORE-TEX, 949.99
